model,J,tail_mode,cell_shape,rx,ry,distance,lambda_xx_cell_lower,lambda_xx0,lambda_xx_finite,lambda_xxx_finite,lambda_xxy_finite,M_xxx,M_xxy,Rxx1_lower,Rxx2_lower,Jxx1_lower,Jxx2_lower,success,cluster_complete,rigorous_flag
norm_bound,50,dirichlet_parseval_tail,x_only,0.0,0.0,0.0,-87.40927340732887,-87.40927340732887,36.324237337842554,7.681899755200245e-13,-75.11380355421718,2962.5652738924055,3530.903789161044,-12.820992204969132,-12.822561881283685,-50.670317853512316,-50.67188752982687,False,False,exploratory_double
norm_bound,50,dirichlet_parseval_tail,y_only,0.0,0.0,0.0,-87.40927340732887,-87.40927340732887,36.324237337842554,7.681899755200245e-13,-75.11380355421718,2962.5652738924055,3530.903789161044,-12.820992204969132,-12.822561881283685,-50.670317853512316,-50.67188752982687,False,False,exploratory_double
norm_bound,50,dirichlet_parseval_tail,omega_up_type,0.0,0.0,0.0,-87.40927340732887,-87.40927340732887,36.324237337842554,7.681899755200245e-13,-75.11380355421718,2962.5652738924055,3530.903789161044,-12.820992204969132,-12.822561881283685,-50.670317853512316,-50.67188752982687,False,False,exploratory_double
norm_bound,50,dirichlet_parseval_tail,square,0.0,0.0,0.0,-87.40927340732887,-87.40927340732887,36.324237337842554,7.681899755200245e-13,-75.11380355421718,2962.5652738924055,3530.903789161044,-12.820992204969132,-12.822561881283685,-50.670317853512316,-50.67188752982687,False,False,exploratory_double
symmetry_first_order,50,tail_ignored,x_only,0.2,0.0,0.2,36.324237337842554,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-13.35789251319255,-13.189512840739116,2.3709636406408894,2.5393433130943226,True,False,exploratory_double
symmetry_first_order,50,tail_ignored,y_only,0.0,0.0033715723987370752,0.0033715723987370752,29.81506608050368,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-12.858482281738123,-12.860040493682183,0.0015582119440615827,1.7763568394002505e-15,True,False,exploratory_double
symmetry_first_order,50,tail_ignored,omega_up_type,0.03354215151830777,0.0033542151518307774,0.033709445082378435,29.848576051314726,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-12.874753290589231,-12.871551476530975,1.7763568394002505e-15,0.0032018140582579235,True,False,exploratory_double
symmetry_first_order,50,tail_ignored,square,0.003371434286962691,0.003371434286962691,0.0047679280932723025,29.81533271965177,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-12.858647423986817,-12.860157561247785,0.001510137260970268,1.7763568394002505e-15,True,False,exploratory_double
signed_xxy_first_order,50,tail_ignored,x_only,0.2,0.0,0.2,36.324237337842554,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-13.35789251319255,-13.189512840739116,2.3709636406408894,2.5393433130943226,True,False,exploratory_double
signed_xxy_first_order,50,tail_ignored,y_only,0.0,0.09797982353788119,0.09797982353788119,36.324237337842554,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-13.94933497157847,-13.934427389958307,5.329070518200751e-15,0.014907581620168031,True,False,exploratory_double
signed_xxy_first_order,50,tail_ignored,omega_up_type,0.2,0.020000000000000004,0.2009975124224178,36.324237337842554,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-13.637399066293009,-13.462063407637975,1.7282147141620054,1.9035503728170386,True,False,exploratory_double
signed_xxy_first_order,50,tail_ignored,square,0.09169461229243608,0.09169461229243608,0.1296757643005058,36.324237337842554,36.324237337842554,36.324237337842554,7.681899755200245e-13,-75.11380355421718,1514.2689481483148,1930.6040290806397,-14.063487724077486,-14.009294979276874,1.7763568394002505e-15,0.054192744800614534,True,False,exploratory_double
norm_bound,100,tail_ignored,x_only,0.004397718852140506,0.0,0.004397718852140506,29.612894594135053,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-12.82127114715988,-12.822759499055913,0.0014883518960342457,1.7763568394002505e-15,True,False,exploratory_double
norm_bound,100,tail_ignored,y_only,0.0,0.0033457152710447005,0.0033457152710447005,29.813505395208264,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-12.858194351054804,-12.859752773915325,0.001558422860522768,1.7763568394002505e-15,True,False,exploratory_double
norm_bound,100,tail_ignored,omega_up_type,0.0038869006097669453,0.0003886900609766945,0.003906286767981675,29.636066065934433,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-12.825526997544088,-12.827033418503442,0.0015064209593553812,1.7763568394002505e-15,True,False,exploratory_double
norm_bound,100,tail_ignored,square,0.0019002200615290273,0.0019002200615290273,0.0026873169825077877,29.726509567646062,36.27540007259375,36.27540007259375,6.882875780575178e-13,-75.15885636074067,1514.9912266937772,1931.394082846672,-12.842160826424347,-12.84371277079149,0.0015519443671436761,1.7763568394002505e-15,True,False,exploratory_double
norm_bound,100,dirichlet_parseval_tail,x_only,0.0,0.0,0.0,-85.51685264393424,-85.51685264393424,36.27540007259375,6.882875780575178e-13,-75.15885636074067,2918.7247219435576,3480.2977249684177,-12.820992204969132,-12.822561881283685,-49.850875625637876,-49.85244530195243,False,False,exploratory_double
norm_bound,100,dirichlet_parseval_tail,y_only,0.0,0.0,0.0,-85.51685264393424,-85.51685264393424,36.27540007259375,6.882875780575178e-13,-75.15885636074067,2918.7247219435576,3480.2977249684177,-12.820992204969132,-12.822561881283685,-49.850875625637876,-49.85244530195243,False,False,exploratory_double
