conjecture,step,i,j,x_lo_inf,x_hi_sup,y_lo_inf,y_hi_sup,L_lower,ok,min_so_far,run_timestamp
J2,1-2,9,9,0.59599999999999998,0.6080000000000001,0.85522540378443857,0.85642540378443877,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,10,0.59599999999999998,0.6080000000000001,0.85402540378443859,0.85522540378443879,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,11,0.59599999999999998,0.6080000000000001,0.8528254037844385,0.85402540378443881,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,12,0.59599999999999998,0.6080000000000001,0.85162540378443852,0.85282540378443872,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,13,0.59599999999999998,0.6080000000000001,0.85042540378443854,0.85162540378443874,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,14,0.59599999999999998,0.6080000000000001,0.84922540378443856,0.85042540378443877,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,15,0.59599999999999998,0.6080000000000001,0.84802540378443859,0.84922540378443879,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,16,0.59599999999999998,0.6080000000000001,0.8468254037844385,0.84802540378443881,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,17,0.59599999999999998,0.6080000000000001,0.84562540378443852,0.84682540378443872,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,18,0.59599999999999998,0.6080000000000001,0.84442540378443854,0.84562540378443874,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,19,0.59599999999999998,0.6080000000000001,0.84322540378443856,0.84442540378443876,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
J2,1-2,9,20,0.59599999999999998,0.6080000000000001,0.84202540378443858,0.84322540378443878,Inf,1,1.03124595683208096e+01,2026-03-11 23:51:39
