id,s_lo,s_hi,s_mid,midpoint_ritz,rayleigh_lower,rayleigh_upper,target_11_5_verified,down_scaled_upper
117,0.58,0.585,0.5825,11.6096885795821,11.5975676282838,11.6218095309084,0,-1.75982831018771
118,0.585,0.59,0.5875,11.6323061573371,11.6201773565669,11.64443495811,0,-1.73191723876823
119,0.59,0.595,0.5925,11.6549017839327,11.6428009994115,11.6670025684347,0,-1.7049696688812
120,0.595,0.6,0.5975,11.6774044220042,11.6653660967908,11.6894427471895,0,-1.67921140613852
121,0.6,0.605,0.6025,11.6997462435634,11.6878029986057,11.7116894885252,0,-1.65485792437621
122,0.605,0.61,0.6075,11.7218634320361,11.7100456701781,11.7336811938955,0,-1.6321119877702
123,0.61,0.615,0.6125,11.7436969725185,11.7320324904561,11.755361454622,0,-1.61116132063701
124,0.615,0.62,0.6175,11.7651934226288,11.7537070351966,11.7766798100498,0,-1.59217635037672
125,0.62,0.625,0.6225,11.7863056555272,11.7750188358376,11.7975924752073,0,-1.575308041758
126,0.625,0.63,0.6275,11.8069935658655,11.7959241071477,11.8180630246099,0,-1.56068586249971
127,0.63,0.635,0.6325,11.8272247286394,11.8163864314502,11.838063025836,0,-1.54841589919556
128,0.635,0.64,0.6375,11.8469750001854,11.8363773924823,11.8575726079024,0,-1.53857916835709
129,0.64,0.645,0.6425,11.8662290499659,11.8558771442427,11.8765809556946,0,-1.53123014871561
130,0.645,0.65,0.6475,11.884980811352,11.8748749053236,11.8950867173651,0,-1.52639557391242
131,0.65,0.655,0.6525,11.903233839411,11.8933693660379,11.91309831278,0,-1.52407352121082
132,0.655,0.66,0.6575,11.9210015637999,11.9113689969927,11.930634130618,0,-1.52423283328667
133,0.66,0.665,0.6625,11.9383074252967,11.928892246282,11.9477226043031,0,-1.52681290243444
134,0.665,0.67,0.6675,11.9551848853274,11.9459676149508,11.9644021557349,0,-1.53172385017456
135,0.67,0.675,0.6725,11.9716772990966,11.962633599967,11.9807209982268,0,-1.53884712790939
136,0.675,0.68,0.6775,11.9878376446252,11.9789384969771,11.9967367922912,0,-1.54803655761621
137,0.68,0.685,0.6825,12.0037281021393,11.9949400550581,12.0125161492441,0,-1.55911982756221
138,0.685,0.69,0.6875,12.0194194808234,12.0107049797483,12.0281339819092,0,-1.57190044513282
139,0.69,0.695,0.6925,12.0349904928927,12.0263082823928,12.0436727034012,0,-1.58616014378283
